項次,出入口電梯/無障礙坡道名稱,出入口編號,經度,緯度,,
36,中正紀念堂站出口電梯1,出口1,121.517842,25.033084,,
37,中正紀念堂站出口電梯2,出口5,121.517005,25.035103,,
38,台大醫院站出口電梯3,出口1,121.515821,25.04134,,
39,台大醫院站出口電梯1,出口2,121.516669,25.041416,,
40,台大醫院站出口電梯2,出口3,121.516529,25.042997,,
41,台北車站出口電梯1,M2,121.5186428,25.0482356,,
42,台北車站出口電梯2,M4,121.5172729,25.0463906,,
43,中山站出口電梯1,出口4,121.520397,25.053263,,
44,中山站出口電梯2,出口5,121.5194307,25.0529936,,
45,中山站出口電梯3,出口6,121.5189288,25.0527938,,
46,雙連站出口電梯,出口2,121.5207916,25.0583407,,
47,民權西路站無障礙坡道,出口1,121.5194143,25.062607,,
48,民權西路站出口電梯,出口10,121.520284,25.063046,,
49,圓山站出口無障礙坡道1,出口1,121.5201311,25.0708481,,
50,圓山站出口無障礙坡道2,出口2,121.5201211,250717908,,
51,劍潭站出口無障礙坡道1,出口2,121.5246738,25.0831111,,
52,劍潭站出口無障礙坡道2,出口3,121.5248293,25.0844966,,
53,劍潭站出口無障礙坡道3,出口1,121.525232,25.0853554,,
54,士林站出口無障礙坡道1,出口1,121.5260095,25.0943692,,
55,士林站出口,出口2,121.5265121,25.0928411,,
56,芝山站出口無障礙坡道1,出口1,121.5227124,25.1022269,,
57,芝山站出口無障礙坡道2,出口2,121.5225176,25.1033976,,
58,明德站出口無障礙坡道1,出口1,121.5190445,25.1096709,,
59,明德站出口無障礙坡道2,出口2,121.5186723,25.1101898,,
60,明德站出口無障礙坡道3,出口3,121.5184571,25.1099766,,
61,石牌站出口無障礙坡道1,出口1,121.5152921,25.1149572,,
62,石牌站出口無障礙坡道2,出口2,121.5164183,25.1134105,,
63,唭哩岸站出口無障礙坡道1,出口1,121.506658,25.12122,,
64,唭哩岸站出口無障礙坡道2,出口2,121.505855,25.120589,,
65,奇岩站出口無障礙坡道,單一出口,121.501278,25.125424,,
66,北投站出口無障礙坡道1,出口1,121.4980606,25.1320345,,
67,北投站出口無障礙坡道2,出口2,121.499581,25.130682,,
68,新北投站出口無障礙坡道,出口1,121.5034816,25.1370048,,
69,復興崗站出口無障礙坡道,出口1,121.485578,25.137716,,
70,復興崗站出口二北投會館電梯,出口2,121.485457,25.136726,,
71,忠義站出口無障礙坡道1,出口1,121.473407,25.131207,,
72,忠義站出口無障礙坡道2,出口2,121.473562,25.130769,,
73,關渡站出口無障礙坡道1,出口1,121.4675726,25.1250083,,
74,關渡站出口無障礙坡道2,出口2,121.466675,25.1253377,,
75,竹圍站出口無障礙坡道1,出口1,121.459726,25.136649,,
76,竹圍站出口無障礙坡道2,出口2,121.45946,25.136448,,
77,紅樹林站出口無障礙坡道,出口1,121.458976,25.15413,,
78,淡水站出口無障礙坡道1,出口1,121.445143,25.168262,,
79,淡水站出口無障礙坡道2,出口2,121.4469078,25.1668843,,
80,東門站出口電梯,出口8,121.528853,25.0340168,,
81,大安森林公園站出口電梯1,出口4,121.535601,25.03336,,
82,大安森林公園站出口電梯2,出口5,121.536211,25.033337,,
83,大安森林公園站出口電梯3,出口6,121.536001,25.033668,,
84,大安站出口無障礙坡道,出口4,121.5438737,25.0330538,,
85,大安站出口電梯,出口3,121.5428162,25.0332333,,
86,信義安和站出口電梯1,出口5,121.553532,25.0333518,,
87,信義安和站出口電梯2,出口2A,121.552582,25.032848,,
88,台北101/世貿站出口電梯1,出口3,121.5635594,25.0328327,,
89,台北101/世貿站出口電梯2,出口4,121.564258,25.033438,,
90,台北101/世貿站出口電梯3,出口5,121.5632533,25.0332826,,
91,象山站出口電梯1,出口1,121.5699193,25.0329001,,
92,象山站出口電梯2,出口2,121.5699857,25.0323724,,
93,廣慈/奉天宮站出口電梯1,出口1,121.581701,25.037491,,
94,廣慈/奉天宮站出口電梯2,出口2,121.583218,25.038374,,
95,廣慈/奉天宮站出口無障礙坡道,出口2,121.583361,25.038278,,
96,小碧潭站出口電梯1,出口1,121.529713,24.971847,,
97,小碧潭站出口電梯2,出口2,121.530325,24.972786,,
98,新店站出口無障礙坡道,單一出口,121.5380637,24.9582166,,
99,新店區公所站出口無障礙坡道,出口1,121.5413377,24.9674356,,
100,七張站出口無障礙坡道,出口1,121.5430452,24.9750321,,
101,大坪林站出口電梯1,出口3,121.5415144,24.9830488,,
102,大坪林站出口電梯2,出口5,121.543016,24.982745,,
103,景美站出口電梯,出口1,121.5406986,24.9922546,,
104,萬隆站出口電梯,出口4,121.5385753,25.0026433,,
105,公館站出口電梯1,出口1,121.534447,25.014389,,
106,公館站出口電梯2,出口2,121.5348058,25.0147524,,
107,台電大樓站出口電梯,出口5,121.5277402,25.0207409,,
108,古亭站出口電梯,出口1,121.5229582,25.0260885,,
109,小南門站出口電梯,出口3,121.5113653,25.0352732,,
110,松山站出口電梯1,出口3,121.5774127,25.0498633,,
111,松山站出口電梯2,出口5,121.578121,25.050249,,
112,南京三民站出口電梯1,出口1,121.5633234,25.0516268,,
113,南京三民站出口電梯2,出口2,121.5635433,25.0513204,,
114,台北小巨蛋站出口電梯1,出口1,121.5512481,25.0518361,,
115,台北小巨蛋站出口電梯2,出口2,121.550975,25.051509,,
116,台北小巨蛋站出口電梯3,出口3,121.5526734,25.0513486,,
117,南京復興站出口電梯1,出口1,121.5421437,25.0526811,,
118,南京復興站出口電梯2,出口2,121.5418946,25.0515576,,
119,南京復興站出口電梯3,出口7,121.544135,25.052041,,
120,松江南京站出口電梯1,出口1,121.5323788,25.0518519,,
121,松江南京站出口電梯2,出口2,121.5327226,25.0513334,,
122,松江南京站出口電梯3,出口8,121.5327227,25.0526185,,
123,北門站出口電梯1,出口2,121.5106401,25.0493473,,
124,北門站出口電梯2,出口3,121.51005,25.0500699,,
125,迴龍站出口電梯,出口1,121.4116173,25.0218708,,
126,丹鳳站出口電梯,出口2,121.422717,25.0287674,,
127,輔大站出口電梯1,出口1,121.4352496,25.0328615,,
128,輔大站出口電梯2,出口2,121.4353281,25.0325085,,
129,新莊站出口電梯1,出口1,121.4521579,25.0363,,
130,新莊站出口電梯2,出口2,121.4523745,25.0361214,,
131,頭前庄站出口無障礙坡道,出口1,121.4605348,25.0403109,,
132,先嗇宮站出口電梯,出口1,121.47142,25.04654,,
133,三重站出口電梯,出口1,121.4831091,25.055335,,
134,菜寮站出口電梯,出口2,121.4911421,25.0594305,,
135,台北橋站出口電梯,單一出口,121.50085,25.06316,,
136,大橋頭站出口電梯,出口1,121.512606,25.063094,,
137,中山國小站出口電梯,出口2,121.5263807,25.0625317,,
138,中山國小站出口電梯,出口4,121.5267116,25.0628102,,
139,行天宮站出口電梯,出口2,121.5334778,25.0588258,,
140,頂溪站出口電梯,出口1,121.5153534,25.012817,,
141,永安市場站出口電梯,單一出口,121.5109026,25.0024203,,
142,景安站出口無障礙坡道,單一出口,121.50458,24.993721,,
143,南勢角站出口電梯,出口3,121.509571,24.989606,,
144,蘆洲站出口電梯,出口2,121.4650476,25.09116235,,
145,三民高中站出口電梯,出口1,121.4731016,25.0855193,,
146,徐匯中學站出口電梯,出口2,121.48031,25.080535,,
147,三和國中站出口電梯,出口1,121.486454,25.07658,,
148,三和國中站出口電梯,出口2,121.486779,25.077116,,
149,三重國小站出口電梯,單一出口,121.496901,25.070477,,
150,頂埔站出口電梯1,出口1,121.4184927,24.95947933,,
151,頂埔站出口電梯2,出口3,121.4198032,24.95983129,,
152,頂埔站出口電梯3,出口4,121.4197026,24.96005988,,
153,永寧站出口電梯1,出口1,121.4355601,24.9665891,,
154,永寧站出口電梯2,出口2,121.4357508,24.9661426,,
155,土城站出口電梯,出口1,121.4441438,24.973459,,
156,海山站出口電梯,出口2,121.4489386,24.9853454,,
157,亞東醫院站出口電梯,出口3,121.45288,24.998871,,
158,府中站出口電梯,出口1,121.4589952,25.0084545,,
159,板橋站出口電梯1,出口3,121.4625897,25.0140332,,
160,板橋站出口電梯2,出口4,121.4650503,25.0149489,,
161,板橋站出口電梯3,出口5,121.4642091,25.0155827,,
162,新埔站出口電梯1,出口4,121.46871,25.02371,,
163,新埔站出口電梯2,出口5,121.46817,25.02407,,
164,江子翠站出口電梯,出口3,121.4723419,25.0297307,,
165,龍山寺站出口電梯,出口1,121.4994583,25.0355147,,
166,西門站出口電梯1,出口4,121.5088843,25.0423094,,
167,西門站出口電梯2,出口6,121.5078087,25.0425366,,
168,善導寺站出口電梯,出口3,121.5235442,25.0446787,,
169,忠孝新生站出口電梯1,出口2,121.5320425,25.0422696,,
170,忠孝新生站出口電梯2,出口3,121.5338479,25.0420023,,
171,忠孝復興站出口電梯,出口2,121.543545,25.041232,,
172,忠孝敦化站出口電梯,出口2,121.551269,25.041619,,
173,國父紀念館站出口電梯,出口4,121.5582594,25.04116,,
174,國父紀念館站出口電梯,出口5,121.558214,25.041674,,
175,市政府站出口電梯,出口2,121.565245,25.040936,,
176,永春站出口電梯,出口5,121.576757,25.040912,,
177,後山埤站出口電梯,出口3,121.5829,25.0453,,
178,昆陽站無障礙坡道,出口1,121.592713,25.050345,,
179,昆陽站無障礙坡道,出口4,121.5938057,25.0505729,,
180,南港站出口電梯,出口2,121.6078538,25.0520767,,
181,南港展覽館站出口電梯1,出口1,121.617352,25.05578,,
182,南港展覽館站出口電梯2,出口2A,121.617436,25.05525,,
183,南港展覽館站出口電梯3,出口5,121.6172314,25.0547923,,
184,十四張站出口電梯,單一出口,121.527244,24.983526,,
185,秀朗橋站出口電梯,出口2,121.5250094,24.9904982,,
186,景平站出口電梯,單一出口,121.516039,24.991992,,
187,中和站出口無障礙坡道,單一出口,121.4965351,25.002355,,
188,橋和站出口電梯,單一出口,121.4903747,25.0047922,,
189,中原站出口電梯,單一出口,121.4846089,25.0082755,,
190,板新站出口電梯,單一出口,121.4724853,25.0144302,,
191,新埔民生站出口電梯,單一出口,121.4668182,25.0261323,,
192,幸褔站出口電梯,出口1,121.460188,25.049854,,
193,新北產業園區站出口電梯,單一出口,121.4597405,25.0611067,,
